Class ID;Preferred Label;Link
BTO:0002703;cortical amygdaloid nucleus;http://purl.obolibrary.org/obo/BTO_0002703
BTO:0002714;UM-SCC-22A cell;http://purl.obolibrary.org/obo/BTO_0002714
BTO:0000722;leg muscle;http://purl.obolibrary.org/obo/BTO_0000722
BTO:0003669;keloid;http://purl.obolibrary.org/obo/BTO_0003669
BTO:0005659;ovarian steroidogenic cell;http://purl.obolibrary.org/obo/BTO_0005659
BTO:0002901;neural crest cell line;http://purl.obolibrary.org/obo/BTO_0002901
BTO:0003634;esophageal gland;http://purl.obolibrary.org/obo/BTO_0003634
BTO:0003645;salivary gland tumor cell line;http://purl.obolibrary.org/obo/BTO_0003645
BTO:0005637;Idiopathic pulmonary fibrosis disease specific cell type;http://purl.obolibrary.org/obo/BTO_0005637
BTO:0003656;adams apple;http://purl.obolibrary.org/obo/BTO_0003656
BTO:0005648;culture condition:isoprimeverose-grown cell;http://purl.obolibrary.org/obo/BTO_0005648
BTO:0004591;NHEC cell;http://purl.obolibrary.org/obo/BTO_0004591
BTO:0000263;P-388D1(IL-1) cell;http://purl.obolibrary.org/obo/BTO_0000263
BTO:0000274;apical bud;http://purl.obolibrary.org/obo/BTO_0000274
BTO:0002266;honey sac;http://purl.obolibrary.org/obo/BTO_0002266
BTO:0002277;melanotroph;http://purl.obolibrary.org/obo/BTO_0002277
BTO:0005130;A2780/R cell;http://purl.obolibrary.org/obo/BTO_0005130
BTO:0005684;MYP-30 cell;http://purl.obolibrary.org/obo/BTO_0005684
BTO:0005695;sensorimotor area;http://purl.obolibrary.org/obo/BTO_0005695
BTO:0004602;human aortic endothelial cell;http://purl.obolibrary.org/obo/BTO_0004602
BTO:0002610;pseudopodium;http://purl.obolibrary.org/obo/BTO_0002610
BTO:0003692;prostatic intraepithelial neoplasia cell;http://purl.obolibrary.org/obo/BTO_0003692
BTO:0004242;vitellarium;http://purl.obolibrary.org/obo/BTO_0004242
BTO:0004253;plant candle;http://purl.obolibrary.org/obo/BTO_0004253
BTO:0001589;KLN205 cell;http://purl.obolibrary.org/obo/BTO_0001589
BTO:0001378;maxillary nerve;http://purl.obolibrary.org/obo/BTO_0001378
BTO:0004231;TCMK-1 cell;http://purl.obolibrary.org/obo/BTO_0004231
BTO:0003724;RT-112 cell;http://purl.obolibrary.org/obo/BTO_0003724
BTO:0005716;Me4405 cell;http://purl.obolibrary.org/obo/BTO_0005716
BTO:0005727;UOK-262 cell;http://purl.obolibrary.org/obo/BTO_0005727
BTO:0004670;interdigit;http://purl.obolibrary.org/obo/BTO_0004670
BTO:0004601;TE-1 cell;http://purl.obolibrary.org/obo/BTO_0004601
BTO:0004612;WM-793B cell;http://purl.obolibrary.org/obo/BTO_0004612
BTO:0002620;anterior adductor muscle;http://purl.obolibrary.org/obo/BTO_0002620
BTO:0004623;OCI-M2 cell;http://purl.obolibrary.org/obo/BTO_0004623
BTO:0005279;Caco-2/15 cell;http://purl.obolibrary.org/obo/BTO_0005279
BTO:0000540;pollen mother cell;http://purl.obolibrary.org/obo/BTO_0000540
BTO:0000887;muscle;http://purl.obolibrary.org/obo/BTO_0000887
BTO:0000898;myeloma cell;http://purl.obolibrary.org/obo/BTO_0000898
BTO:0000180;cervical carcinoma cell;http://purl.obolibrary.org/obo/BTO_0000180
BTO:0002172;ABFTL-6 cell;http://purl.obolibrary.org/obo/BTO_0002172
BTO:0002183;95C cell;http://purl.obolibrary.org/obo/BTO_0002183
BTO:0002161;ascocarp;http://purl.obolibrary.org/obo/BTO_0002161
BTO:0001437;embryonic carcinoma cell line;http://purl.obolibrary.org/obo/BTO_0001437
BTO:0001226;seed;http://purl.obolibrary.org/obo/BTO_0001226
BTO:0003900;MCF-10F cell;http://purl.obolibrary.org/obo/BTO_0003900
BTO:0001644;vascular bud;http://purl.obolibrary.org/obo/BTO_0001644
BTO:0001655;male cone;http://purl.obolibrary.org/obo/BTO_0001655
BTO:0003911;HuCCT-1 cell;http://purl.obolibrary.org/obo/BTO_0003911
BTO:0002599;RBA-2 cell;http://purl.obolibrary.org/obo/BTO_0002599
BTO:0000909;myxospore;http://purl.obolibrary.org/obo/BTO_0000909
BTO:0001633;lens nucleus;http://purl.obolibrary.org/obo/BTO_0001633
BTO:0001484;nervous system;http://purl.obolibrary.org/obo/BTO_0001484
BTO:0003265;cardiac muscle cell line;http://purl.obolibrary.org/obo/BTO_0003265
BTO:0001273;spermatheca;http://purl.obolibrary.org/obo/BTO_0001273
BTO:0003276;EHEB cell;http://purl.obolibrary.org/obo/BTO_0003276
BTO:0005268;neuropil;http://purl.obolibrary.org/obo/BTO_0005268
BTO:0003138;UM-SCC-1 cell;http://purl.obolibrary.org/obo/BTO_0003138
BTO:0001185;RINm5F cell;http://purl.obolibrary.org/obo/BTO_0001185
BTO:0001196;SF-21 cell;http://purl.obolibrary.org/obo/BTO_0001196
BTO:0002588;NCI-H295R cell;http://purl.obolibrary.org/obo/BTO_0002588
BTO:0005750;dentate granule cell;http://purl.obolibrary.org/obo/BTO_0005750
BTO:0002564;OVCA-429 cell;http://purl.obolibrary.org/obo/BTO_0002564
BTO:0004567;sessile serrated adenoma cell;http://purl.obolibrary.org/obo/BTO_0004567
BTO:0002575;IGROV-1 cell;http://purl.obolibrary.org/obo/BTO_0002575
BTO:0004578;vascular smooth muscle cell;http://purl.obolibrary.org/obo/BTO_0004578
BTO:0003161;PrSMC cell;http://purl.obolibrary.org/obo/BTO_0003161
BTO:0005164;HKESC-1 cell;http://purl.obolibrary.org/obo/BTO_0005164
BTO:0004229;testicular cell line;http://purl.obolibrary.org/obo/BTO_0004229
BTO:0003172;KM-12 cell;http://purl.obolibrary.org/obo/BTO_0003172
BTO:0002289;GFSHR-17 cell;http://purl.obolibrary.org/obo/BTO_0002289
BTO:0000297;carcinoma cell line;http://purl.obolibrary.org/obo/BTO_0000297
BTO:0003103;pro-B-lymphocyte cell line;http://purl.obolibrary.org/obo/BTO_0003103
BTO:0003114;wound fluid;http://purl.obolibrary.org/obo/BTO_0003114
BTO:0003125;HBMEC cell;http://purl.obolibrary.org/obo/BTO_0003125
BTO:0001620;SK-N-SH cell;http://purl.obolibrary.org/obo/BTO_0001620
BTO:0003310;KMCH cell;http://purl.obolibrary.org/obo/BTO_0003310
BTO:0003321;HCE cell;http://purl.obolibrary.org/obo/BTO_0003321
BTO:0003679;MRK-nu-1 cell;http://purl.obolibrary.org/obo/BTO_0003679
BTO:0004265;EJ cell;http://purl.obolibrary.org/obo/BTO_0004265
BTO:0004276;SM-7 cell;http://purl.obolibrary.org/obo/BTO_0004276
BTO:0004207;RXF-393 cell;http://purl.obolibrary.org/obo/BTO_0004207
BTO:0004218;SK-N-FI cell;http://purl.obolibrary.org/obo/BTO_0004218
BTO:0000932;neuroblastoma cell line;http://purl.obolibrary.org/obo/BTO_0000932
BTO:0002935;SG231 cell;http://purl.obolibrary.org/obo/BTO_0002935
BTO:0000943;culture condition:nicotinic acid-grown cell;http://purl.obolibrary.org/obo/BTO_0000943
BTO:0000157;aorta thoracica;http://purl.obolibrary.org/obo/BTO_0000157
BTO:0002138;MiaPaCa cell;http://purl.obolibrary.org/obo/BTO_0002138
BTO:0002149;gill raker;http://purl.obolibrary.org/obo/BTO_0002149
BTO:0000135;aorta;http://purl.obolibrary.org/obo/BTO_0000135
BTO:0000146;brain stem;http://purl.obolibrary.org/obo/BTO_0000146
BTO:0000484;frontal lobe;http://purl.obolibrary.org/obo/BTO_0000484
BTO:0004900;pulmonary venous myocardium;http://purl.obolibrary.org/obo/BTO_0004900
BTO:0000495;gametophyte;http://purl.obolibrary.org/obo/BTO_0000495
BTO:0001239;serum;http://purl.obolibrary.org/obo/BTO_0001239
BTO:0000193;rectal cancer cell;http://purl.obolibrary.org/obo/BTO_0000193
BTO:0002185;culture condition:2-aminobenzoate-grown cell;http://purl.obolibrary.org/obo/BTO_0002185
BTO:0002980;pancreatic alpha cell line;http://purl.obolibrary.org/obo/BTO_0002980
BTO:0004241;ovariole;http://purl.obolibrary.org/obo/BTO_0004241
BTO:0004188;ECRF cell;http://purl.obolibrary.org/obo/BTO_0004188
BTO:0002196;A10 cell;http://purl.obolibrary.org/obo/BTO_0002196
BTO:0001599;SW-1116 cell;http://purl.obolibrary.org/obo/BTO_0001599
BTO:0005500;QGP-1 cell;http://purl.obolibrary.org/obo/BTO_0005500
BTO:0004252;Hepa-1c1c7-c4 cell;http://purl.obolibrary.org/obo/BTO_0004252
BTO:0000506;gastrocnemius;http://purl.obolibrary.org/obo/BTO_0000506
BTO:0001588;MEL-JUSO cell;http://purl.obolibrary.org/obo/BTO_0001588
BTO:0001609;LS-180 cell;http://purl.obolibrary.org/obo/BTO_0001609
BTO:0000563;culture condition:aerobically-grown cell;http://purl.obolibrary.org/obo/BTO_0000563
BTO:0001102;blood vessel;http://purl.obolibrary.org/obo/BTO_0001102
BTO:0000574;hematopoietic cell;http://purl.obolibrary.org/obo/BTO_0000574
BTO:0002830;DB-1 cell;http://purl.obolibrary.org/obo/BTO_0002830
BTO:0004622;OCI-M1 cell;http://purl.obolibrary.org/obo/BTO_0004622
BTO:0004320;1682-A cell;http://purl.obolibrary.org/obo/BTO_0004320
BTO:0002033;EFO-27 cell;http://purl.obolibrary.org/obo/BTO_0002033
BTO:0002044;frond tip;http://purl.obolibrary.org/obo/BTO_0002044
BTO:0004036;UCI-107 cell;http://purl.obolibrary.org/obo/BTO_0004036
BTO:0001953;tanycyte;http://purl.obolibrary.org/obo/BTO_0001953
BTO:0003945;MN-9D cell;http://purl.obolibrary.org/obo/BTO_0003945
BTO:0003956;N-38 cell;http://purl.obolibrary.org/obo/BTO_0003956
BTO:0004680;stratum basale;http://purl.obolibrary.org/obo/BTO_0004680
BTO:0001931;BJAB cell;http://purl.obolibrary.org/obo/BTO_0001931
BTO:0001942;mandibular incisor;http://purl.obolibrary.org/obo/BTO_0001942
BTO:0003934;KKU-100 cell;http://purl.obolibrary.org/obo/BTO_0003934
BTO:0003148;culture condition:milk-grown cell;http://purl.obolibrary.org/obo/BTO_0003148
BTO:0002091;exophytic retinoblastoma cell;http://purl.obolibrary.org/obo/BTO_0002091
BTO:0003159;prostate gland smooth muscle;http://purl.obolibrary.org/obo/BTO_0003159
BTO:0000401;ependymal epithelium;http://purl.obolibrary.org/obo/BTO_0000401
BTO:0001654;female cone;http://purl.obolibrary.org/obo/BTO_0001654
BTO:0003910;stellate reticulum;http://purl.obolibrary.org/obo/BTO_0003910
BTO:0003921;KHOS cell;http://purl.obolibrary.org/obo/BTO_0003921
BTO:0003137;5637 cell;http://purl.obolibrary.org/obo/BTO_0003137
BTO:0001807;utricle;http://purl.obolibrary.org/obo/BTO_0001807
BTO:0000550;anal plate;http://purl.obolibrary.org/obo/BTO_0000550
BTO:0001494;fungus;http://purl.obolibrary.org/obo/BTO_0001494
BTO:0003486;RPMEC cell;http://purl.obolibrary.org/obo/BTO_0003486
BTO:0005489;MLO-Y4 cell;http://purl.obolibrary.org/obo/BTO_0005489
BTO:0003497;papillary renal cell carcinoma cell;http://purl.obolibrary.org/obo/BTO_0003497
BTO:0003184;NHEM cell;http://purl.obolibrary.org/obo/BTO_0003184
BTO:0003195;SK-RC-7 cell;http://purl.obolibrary.org/obo/BTO_0003195
BTO:0005187;TTE-1 cell;http://purl.obolibrary.org/obo/BTO_0005187
BTO:0002969;IR-8 cell;http://purl.obolibrary.org/obo/BTO_0002969
BTO:0000908;myrosin cell;http://purl.obolibrary.org/obo/BTO_0000908
BTO:0000919;8305C cell;http://purl.obolibrary.org/obo/BTO_0000919
BTO:0001505;loin;http://purl.obolibrary.org/obo/BTO_0001505
BTO:0005198;adipose-derived stem cell;http://purl.obolibrary.org/obo/BTO_0005198
BTO:0001516;BA/F3 cell;http://purl.obolibrary.org/obo/BTO_0001516
BTO:0003508;RPMI-7951 cell;http://purl.obolibrary.org/obo/BTO_0003508
BTO:0002240;exodermis;http://purl.obolibrary.org/obo/BTO_0002240
BTO:0002251;lamina medullaris medialis corporis striati;http://purl.obolibrary.org/obo/BTO_0002251
BTO:0002598;RBA cell;http://purl.obolibrary.org/obo/BTO_0002598
BTO:0005600;outer nuclear layer;http://purl.obolibrary.org/obo/BTO_0005600
BTO:0005611;BL-6T cell;http://purl.obolibrary.org/obo/BTO_0005611
BTO:0005622;K3OHD cell;http://purl.obolibrary.org/obo/BTO_0005622
BTO:0001068;pinealocyte;http://purl.obolibrary.org/obo/BTO_0001068
BTO:0000942;NG-108-15 cell;http://purl.obolibrary.org/obo/BTO_0000942
BTO:0002934;thymic cortex;http://purl.obolibrary.org/obo/BTO_0002934
BTO:0000953;nurse cell;http://purl.obolibrary.org/obo/BTO_0000953
BTO:0000804;J-774A.1 cell;http://purl.obolibrary.org/obo/BTO_0000804
BTO:0001550;Dami cell;http://purl.obolibrary.org/obo/BTO_0001550
BTO:0003531;M1-4HSC cell;http://purl.obolibrary.org/obo/BTO_0003531
BTO:0005534;arcuate nucleus;http://purl.obolibrary.org/obo/BTO_0005534
BTO:0003542;LAN-1 cell;http://purl.obolibrary.org/obo/BTO_0003542
BTO:0003889;JHU-019 cell;http://purl.obolibrary.org/obo/BTO_0003889
BTO:0005163;COLO-16 cell;http://purl.obolibrary.org/obo/BTO_0005163
BTO:0004228;thymus lymphoma cell;http://purl.obolibrary.org/obo/BTO_0004228
BTO:0003171;CCD-841-CoN cell;http://purl.obolibrary.org/obo/BTO_0003171
BTO:0003182;NHEK cell;http://purl.obolibrary.org/obo/BTO_0003182
BTO:0005174;Mel120 cell;http://purl.obolibrary.org/obo/BTO_0005174
BTO:0000169;calyx;http://purl.obolibrary.org/obo/BTO_0000169
BTO:0002945;MRN-1 cell;http://purl.obolibrary.org/obo/BTO_0002945
BTO:0002956;Mel501 cell;http://purl.obolibrary.org/obo/BTO_0002956
BTO:0003160;PrEC cell;http://purl.obolibrary.org/obo/BTO_0003160
BTO:0004646;culture condition:phenanthrene-grown cell;http://purl.obolibrary.org/obo/BTO_0004646
BTO:0004910;retinal pigment epithelium cell;http://purl.obolibrary.org/obo/BTO_0004910
BTO:0004921;swine testicular cell line;http://purl.obolibrary.org/obo/BTO_0004921
BTO:0005592;mesocortical dopaminergic system;http://purl.obolibrary.org/obo/BTO_0005592
BTO:0004657;premonocyte;http://purl.obolibrary.org/obo/BTO_0004657
BTO:0001091;axenic culture;http://purl.obolibrary.org/obo/BTO_0001091
BTO:0004635;29-13 cell;http://purl.obolibrary.org/obo/BTO_0004635
BTO:0002992;ARH-77 cell;http://purl.obolibrary.org/obo/BTO_0002992
BTO:0000505;gastric corpus;http://purl.obolibrary.org/obo/BTO_0000505
BTO:0000516;ghost;http://purl.obolibrary.org/obo/BTO_0000516
BTO:0000527;glioblastoma cell;http://purl.obolibrary.org/obo/BTO_0000527
BTO:0000192;nasopharyngeal carcinoma cell;http://purl.obolibrary.org/obo/BTO_0000192
BTO:0001113;prepuce;http://purl.obolibrary.org/obo/BTO_0001113
BTO:0002184;culture condition:2,4-dichlorophenoxyacetate-grown cell;http://purl.obolibrary.org/obo/BTO_0002184
BTO:0004187;NRK-E52 cell;http://purl.obolibrary.org/obo/BTO_0004187
BTO:0002195;vascular smooth muscle cell line;http://purl.obolibrary.org/obo/BTO_0002195
BTO:0004198;prostomium;http://purl.obolibrary.org/obo/BTO_0004198
BTO:0000145;brain myelin;http://purl.obolibrary.org/obo/BTO_0000145
BTO:0000156;brown adipose tissue;http://purl.obolibrary.org/obo/BTO_0000156
BTO:0002840;bile ductule;http://purl.obolibrary.org/obo/BTO_0002840
BTO:0002851;theca interna;http://purl.obolibrary.org/obo/BTO_0002851
BTO:0004843;MyLa 2059 cell;http://purl.obolibrary.org/obo/BTO_0004843
BTO:0001181;rhizome;http://purl.obolibrary.org/obo/BTO_0001181
BTO:0000573;artery;http://purl.obolibrary.org/obo/BTO_0000573
BTO:0001123;peripheral ganglion;http://purl.obolibrary.org/obo/BTO_0001123
BTO:0004854;PK-1 cell;http://purl.obolibrary.org/obo/BTO_0004854
BTO:0002067;stinger;http://purl.obolibrary.org/obo/BTO_0002067
BTO:0001101;pons;http://purl.obolibrary.org/obo/BTO_0001101
BTO:0001112;preputial gland tumor cell;http://purl.obolibrary.org/obo/BTO_0001112
BTO:0001952;HPB-ALL cell;http://purl.obolibrary.org/obo/BTO_0001952
BTO:0003944;Mel-Ab cell;http://purl.obolibrary.org/obo/BTO_0003944
BTO:0004530;F5 meningioma cell;http://purl.obolibrary.org/obo/BTO_0004530
BTO:0003806;gamma-motoneuron;http://purl.obolibrary.org/obo/BTO_0003806
BTO:0004541;connecting tubule cell;http://purl.obolibrary.org/obo/BTO_0004541
BTO:0004552;Barrett's epithelial cell line;http://purl.obolibrary.org/obo/BTO_0004552
BTO:0002216;LN-428 cell;http://purl.obolibrary.org/obo/BTO_0002216
BTO:0000435;stratum spinosum;http://purl.obolibrary.org/obo/BTO_0000435
BTO:0000224;liver cell line;http://purl.obolibrary.org/obo/BTO_0000224
BTO:0002227;culture condition:citrate-grown cell;http://purl.obolibrary.org/obo/BTO_0002227
BTO:0001170;resting cell;http://purl.obolibrary.org/obo/BTO_0001170
BTO:0003955;N-11 cell;http://purl.obolibrary.org/obo/BTO_0003955
BTO:0004890;CHCY-1 cell;http://purl.obolibrary.org/obo/BTO_0004890
BTO:0002414;PG-CL3 cell;http://purl.obolibrary.org/obo/BTO_0002414
BTO:0000422;vaginal epithelium;http://purl.obolibrary.org/obo/BTO_0000422
BTO:0004406;CABA I cell;http://purl.obolibrary.org/obo/BTO_0004406
BTO:0003158;prostate gland anterior lobe;http://purl.obolibrary.org/obo/BTO_0003158
BTO:0004093;endothelial progenitor cell;http://purl.obolibrary.org/obo/BTO_0004093
BTO:0000400;sarcoma cell line;http://purl.obolibrary.org/obo/BTO_0000400
BTO:0002403;OS-RC-2 cell;http://purl.obolibrary.org/obo/BTO_0002403
BTO:0000411;cervical mucosa;http://purl.obolibrary.org/obo/BTO_0000411
BTO:0003991;pleural mesothelioma cell line;http://purl.obolibrary.org/obo/BTO_0003991
BTO:0001515;glomerular epithelium;http://purl.obolibrary.org/obo/BTO_0001515
BTO:0003507;tail fin cell line;http://purl.obolibrary.org/obo/BTO_0003507
BTO:0002461;posterior hypothalamic nucleus;http://purl.obolibrary.org/obo/BTO_0002461
BTO:0002250;nucleus lentiformis;http://purl.obolibrary.org/obo/BTO_0002250
BTO:0001526;renal medulla cell line;http://purl.obolibrary.org/obo/BTO_0001526
BTO:0003518;GREF-X cell;http://purl.obolibrary.org/obo/BTO_0003518
BTO:0003529;SV68 c-IS cell;http://purl.obolibrary.org/obo/BTO_0003529
BTO:0004104;insect labium;http://purl.obolibrary.org/obo/BTO_0004104
BTO:0002112;tela submucosa intestini tenuis;http://purl.obolibrary.org/obo/BTO_0002112
BTO:0004115;HAC cell;http://purl.obolibrary.org/obo/BTO_0004115
BTO:0002123;primitive endoderm;http://purl.obolibrary.org/obo/BTO_0002123
BTO:0001504;blastodisc;http://purl.obolibrary.org/obo/BTO_0001504
BTO:0005197;peltate gland;http://purl.obolibrary.org/obo/BTO_0005197
BTO:0001875;FRTL-5 cell;http://purl.obolibrary.org/obo/BTO_0001875
BTO:0003000;EB-1 cell;http://purl.obolibrary.org/obo/BTO_0003000
BTO:0005139;HEp-3 cell;http://purl.obolibrary.org/obo/BTO_0005139
BTO:0002090;endophytic retinoblastoma cell;http://purl.obolibrary.org/obo/BTO_0002090
BTO:0003147;juvenile leaf;http://purl.obolibrary.org/obo/BTO_0003147
BTO:0000929;neural retina;http://purl.obolibrary.org/obo/BTO_0000929
BTO:0001864;AsPC-1 cell;http://purl.obolibrary.org/obo/BTO_0001864
BTO:0001078;placenta;http://purl.obolibrary.org/obo/BTO_0001078
BTO:0001067;pineal gland;http://purl.obolibrary.org/obo/BTO_0001067
BTO:0000976;HEp-2 cell;http://purl.obolibrary.org/obo/BTO_0000976
BTO:0002968;SK-MEL-93 cell;http://purl.obolibrary.org/obo/BTO_0002968
BTO:0002979;secretion;http://purl.obolibrary.org/obo/BTO_0002979
BTO:0002101;multiple myeloma cell;http://purl.obolibrary.org/obo/BTO_0002101
BTO:0003565;HL1C cell;http://purl.obolibrary.org/obo/BTO_0003565
BTO:0003576;proximale tubular epithelium;http://purl.obolibrary.org/obo/BTO_0003576
BTO:0005568;gastrointestinal mucosa;http://purl.obolibrary.org/obo/BTO_0005568
BTO:0003840;cerebrovascular system;http://purl.obolibrary.org/obo/BTO_0003840
BTO:0005832;globoid cell;http://purl.obolibrary.org/obo/BTO_0005832
BTO:0005843;vaginal epitelial cell;http://purl.obolibrary.org/obo/BTO_0005843
BTO:0005579;acute undifferentiated leukemia cell;http://purl.obolibrary.org/obo/BTO_0005579
BTO:0003851;AOK-B50 cell;http://purl.obolibrary.org/obo/BTO_0003851
BTO:0000032;colonic adenocarcinoma cell;http://purl.obolibrary.org/obo/BTO_0000032
BTO:0000179;Colo-205 cell;http://purl.obolibrary.org/obo/BTO_0000179
BTO:0005555;basal prostate epithelium cell;http://purl.obolibrary.org/obo/BTO_0005555
BTO:0004955;MDA-B02 cell;http://purl.obolibrary.org/obo/BTO_0004955
BTO:0005890;xylem parenchyma cell;http://purl.obolibrary.org/obo/BTO_0005890
BTO:0001702;left atrium;http://purl.obolibrary.org/obo/BTO_0001702
BTO:0004933;NALM-17 cell;http://purl.obolibrary.org/obo/BTO_0004933
BTO:0004944;KOPN-1 cell;http://purl.obolibrary.org/obo/BTO_0004944
BTO:0001400;tuber;http://purl.obolibrary.org/obo/BTO_0001400
BTO:0001411;twig;http://purl.obolibrary.org/obo/BTO_0001411
BTO:0003403;hyperpallium intercalare;http://purl.obolibrary.org/obo/BTO_0003403
BTO:0000883;spinal root;http://purl.obolibrary.org/obo/BTO_0000883
BTO:0004920;WSS-1 cell;http://purl.obolibrary.org/obo/BTO_0004920
BTO:0005591;mesolimbic dopaminergic system;http://purl.obolibrary.org/obo/BTO_0005591
BTO:0002875;CL1-0 cell;http://purl.obolibrary.org/obo/BTO_0002875
BTO:0004867;Sup-M2-TS cell;http://purl.obolibrary.org/obo/BTO_0004867
BTO:0004656;follicular lymphoma cell;http://purl.obolibrary.org/obo/BTO_0004656
BTO:0002806;A-375 cell;http://purl.obolibrary.org/obo/BTO_0002806
BTO:0000814;CAOV-3 cell;http://purl.obolibrary.org/obo/BTO_0000814
BTO:0002817;esophageal cancer cell line;http://purl.obolibrary.org/obo/BTO_0002817
BTO:0000825;mantle;http://purl.obolibrary.org/obo/BTO_0000825
BTO:0005533;fungal primordium;http://purl.obolibrary.org/obo/BTO_0005533
BTO:0003541;OE-33 cell;http://purl.obolibrary.org/obo/BTO_0003541
BTO:0004809;CHO-91 cell;http://purl.obolibrary.org/obo/BTO_0004809
BTO:0005544;gastrointestinal adenocarcinoma cell;http://purl.obolibrary.org/obo/BTO_0005544
BTO:0003552;KK-47 cell;http://purl.obolibrary.org/obo/BTO_0003552
BTO:0000539;granulocyte;http://purl.obolibrary.org/obo/BTO_0000539
BTO:0000803;pancreatic delta cell;http://purl.obolibrary.org/obo/BTO_0000803
BTO:0000515;haustorium;http://purl.obolibrary.org/obo/BTO_0000515
BTO:0000526;glioma cell;http://purl.obolibrary.org/obo/BTO_0000526
BTO:0005253;CHP-100 cell;http://purl.obolibrary.org/obo/BTO_0005253
BTO:0001918;LIM1863 cell;http://purl.obolibrary.org/obo/BTO_0001918
BTO:0000861;culture condition:methanol-grown cell;http://purl.obolibrary.org/obo/BTO_0000861
